class_index,class_name,dice,iou,support,is_background
0,background,0.98665851354599,0.9736685752868652,161921776.0,True
1,"shirt, blouse",0.5731245279312134,0.40166404843330383,529452.0,False
2,cardigan,0.21870408952236176,0.12277808040380478,71102.0,False
3,jacket,0.6129672527313232,0.441927045583725,1123778.0,False
4,vest,0.18594494462013245,0.10250237584114075,137379.0,False
5,shorts,0.7076029181480408,0.5475119948387146,381684.0,False
6,skirt,0.6433094143867493,0.47417548298835754,1451598.0,False
7,coat,0.6378958821296692,0.46831655502319336,1133693.0,False
8,jumpsuit,0.32854604721069336,0.1965630203485489,313468.0,False
9,glasses,0.7227648496627808,0.5658823251724243,53391.0,False
10,hat,0.6986584663391113,0.5368755459785461,134737.0,False
11,"headband, head covering, hair accessory",0.2971770763397217,0.17452025413513184,92464.0,False
12,tie,0.25578320026397705,0.14664645493030548,1027.0,False
13,glove,0.29494723677635193,0.17298424243927002,21667.0,False
14,watch,0.20684188604354858,0.11535061150789261,12544.0,False
15,belt,0.30482470989227295,0.1798190027475357,135771.0,False
16,leg warmer,0.0,0.0,37438.0,False
17,"tights, stockings",0.6696643829345703,0.5033800005912781,274162.0,False
18,sock,0.3955579996109009,0.24653927981853485,25381.0,False
19,shoe,0.7784337997436523,0.6372423768043518,854045.0,False
20,"bag, wallet",0.6434966325759888,0.47437891364097595,525544.0,False
21,scarf,0.4379253089427948,0.2803485095500946,219364.0,False
22,umbrella,0.9137129187583923,0.8411339521408081,88384.0,False
23,hood,0.1447978913784027,0.0780496597290039,34849.0,False
24,collar,0.37080398201942444,0.2275993525981903,82485.0,False
25,lapel,0.5650584697723389,0.3937850296497345,248562.0,False
26,epaulette,0.01077199261635542,0.0054151625372469425,1045.0,False
27,pocket,0.16664627194404602,0.09089695662260056,171000.0,False
28,buckle,0.03267509490251541,0.016608895733952522,6895.0,False
29,zipper,0.09990507364273071,0.052578989416360855,26645.0,False
30,applique,0.0,0.0,40594.0,False
31,bead,0.17935332655906677,0.09851078689098358,33583.0,False
32,bow,0.0,0.0,7495.0,False
33,flower,0.0,0.0,12614.0,False
34,fringe,0.25150585174560547,0.14384140074253082,38034.0,False
35,ribbon,0.0,0.0,6464.0,False
36,rivet,0.0,0.0,7445.0,False
37,ruffle,0.3451729714870453,0.20858553051948547,478052.0,False
38,sequin,0.0,0.0,15175.0,False
39,tassel,0.0,0.0,3265.0,False
