epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3126.51,1.01435,2.27463,1.06332,1.03545,0,0.62362,0.35707,0.3633,0.25986,0.60544,0.3221,0.31876,0.17987,1.0519,2.21554,0.9479,1.027,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4169.5,1.01039,2.2663,1.05721,1.03416,0,0.62521,0.35509,0.3639,0.26114,0.60703,0.32257,0.31991,0.1806,1.05229,2.21415,0.94755,1.02729,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5207.2,1.0104,2.26447,1.05406,1.03386,0,0.624,0.35369,0.36372,0.26082,0.60683,0.32524,0.32051,0.18049,1.05041,2.21131,0.94635,1.02588,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6241.65,1.01369,2.28263,1.06613,1.03624,0,0.6197,0.35945,0.3647,0.26134,0.59575,0.32422,0.31873,0.18076,1.04918,2.20969,0.94533,1.02517,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7268.14,1.01419,2.28415,1.0672,1.036,0,0.61741,0.36284,0.36621,0.26265,0.58691,0.33107,0.32171,0.18143,1.04765,2.20787,0.94398,1.02414,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8306.12,1.00987,2.27438,1.06353,1.03475,0,0.61894,0.36364,0.36739,0.2637,0.58401,0.33199,0.3211,0.18082,1.04604,2.2043,0.94275,1.02326,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9351.25,1.00506,2.26376,1.05329,1.0318,0,0.6159,0.36855,0.36936,0.26469,0.58325,0.33302,0.32245,0.18184,1.04461,2.20264,0.94032,1.02239,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10393.8,1.00522,2.26272,1.05281,1.03215,0,0.58838,0.37267,0.37029,0.26587,0.55802,0.34096,0.32338,0.18276,1.04264,2.19928,0.93808,1.02128,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,11429,1.0003,2.25195,1.04653,1.02989,0,0.58579,0.37457,0.37104,0.26635,0.55906,0.3433,0.32495,0.18331,1.04071,2.19634,0.93628,1.0205,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,12476,0.99458,2.24283,1.03631,1.02728,0,0.58325,0.37466,0.37257,0.26748,0.55844,0.34268,0.32493,0.18488,1.03922,2.19294,0.93437,1.01968,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13527.5,0.99289,2.23394,1.03263,1.02675,0,0.58204,0.37478,0.37338,0.26791,0.56235,0.33678,0.32637,0.18579,1.03807,2.18989,0.93263,1.0191,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,14581.4,0.98893,2.2331,1.02829,1.02513,0,0.58594,0.37345,0.37457,0.26845,0.56629,0.338,0.32844,0.18655,1.03638,2.18714,0.93,1.01825,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,15642.1,0.98646,2.2213,1.02432,1.0245,0,0.57986,0.37348,0.37539,0.26945,0.5587,0.33936,0.32936,0.18801,1.03443,2.18316,0.92793,1.01696,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,16680.7,0.98279,2.21816,1.01739,1.02262,0,0.58371,0.37275,0.37641,0.2705,0.56896,0.33826,0.33094,0.18865,1.03332,2.1803,0.92624,1.01629,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,17730.9,0.9791,2.20394,1.0071,1.02008,0,0.59384,0.36459,0.37772,0.27115,0.57549,0.33645,0.33347,0.18936,1.03225,2.17746,0.92382,1.01571,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1069.94,0.96025,2.16609,0.97993,1.0137,0,0.59303,0.36448,0.37802,0.27163,0.57611,0.33379,0.33324,0.18919,1.03277,2.17685,0.92389,1.01588,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,2125.61,0.96264,2.17361,0.98209,1.01357,0,0.5965,0.36232,0.37743,0.27137,0.57987,0.3323,0.33244,0.18924,1.03266,2.17538,0.92265,1.01567,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,3221.81,0.96095,2.16536,0.97902,1.01344,0,0.60226,0.35965,0.37746,0.27185,0.58307,0.32949,0.33137,0.18926,1.03258,2.17413,0.92153,1.01549,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4053.22,0.99425,2.1352,0.936,1.03215,0,0.61111,0.35632,0.37707,0.27163,0.59156,0.32695,0.33176,0.18867,1.03185,2.17186,0.9208,1.01513,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4876,0.98619,2.11731,0.92135,1.02795,0,0.60885,0.35816,0.37803,0.27273,0.58599,0.32878,0.33319,0.18923,1.03164,2.17049,0.92023,1.01487,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,5694.1,0.97959,2.10165,0.91007,1.02379,0,0.61156,0.35813,0.37988,0.27349,0.58912,0.32976,0.33451,0.19003,1.0314,2.16975,0.91955,1.01475,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,6518.42,0.97245,2.09448,0.90002,1.01911,0,0.62332,0.35449,0.38139,0.27464,0.59228,0.3279,0.33572,0.19099,1.03136,2.16779,0.91796,1.0143,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1103.04,0.93565,2.11271,0.94126,1.00392,0,0.60161,0.36036,0.38155,0.27439,0.59732,0.32712,0.33589,0.1924,1.03129,2.16653,0.9181,1.01421,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2183.83,0.93708,2.11998,0.94185,1.00394,0,0.598,0.35944,0.38127,0.27507,0.59322,0.32728,0.33529,0.19148,1.03108,2.16526,0.9178,1.01381,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,3264.76,0.93594,2.11331,0.9403,1.00394,0,0.5924,0.36114,0.38103,0.27576,0.58864,0.32715,0.33521,0.1923,1.03081,2.16405,0.91723,1.01361,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,1229.71,0.92501,2.09195,0.92637,1.00023,0,0.59345,0.36036,0.38129,0.27507,0.58759,0.32664,0.3354,0.19253,1.03098,2.16383,0.91759,1.01366,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,2439.03,0.92773,2.10163,0.92894,1.00081,0,0.5906,0.36299,0.3822,0.2759,0.58891,0.32627,0.33559,0.19253,1.03114,2.16282,0.91693,1.01352,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,3507.4,0.92769,2.0979,0.92856,1.00125,0,0.60096,0.35613,0.38221,0.27591,0.58565,0.32651,0.33545,0.19271,1.03135,2.16348,0.91694,1.01344,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
