epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.40376900105121927,0.2444836538131923,0.5947102904319763,0.1870454102754593,0.12754376232624054
2,0.28127305277559234,0.23168723111691542,0.632118284702301,0.22460663318634033,0.15483516454696655
3,0.24854927106145222,0.19965922148668602,0.644105851650238,0.2562100291252136,0.17894423007965088
4,0.22944251852316408,0.18592159797067512,0.6645811200141907,0.2893950343132019,0.20316246151924133
5,0.21298155882415398,0.18309128968274757,0.680751383304596,0.30250129103660583,0.2129209339618683
6,0.20129406986677129,0.17328989056691732,0.6898301839828491,0.3088620603084564,0.21967382729053497
7,0.19149806177528342,0.17739491532110188,0.6900097727775574,0.3193119764328003,0.22740021347999573
8,0.18246090372431328,0.1676914068321659,0.7022866010665894,0.30746763944625854,0.22079463303089142
9,0.1743106129507405,0.16964091687169794,0.7069471478462219,0.33406221866607666,0.2369500696659088
10,0.16688156943522697,0.1630754600444885,0.7117407917976379,0.33168691396713257,0.23837709426879883
11,0.16112193151744184,0.16245112384427085,0.7072039842605591,0.35047563910484314,0.2502342164516449
12,0.15538960118708822,0.16278923680521037,0.7125796675682068,0.342268705368042,0.2467823177576065
