epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.5054931982361432,0.2777055356009253,0.53907310962677,0.13607914745807648,0.09019025415182114
2,0.37910789106052295,0.26168885210464743,0.5801059007644653,0.19411097466945648,0.13070201873779297
3,0.3408252058017365,0.22322285884413226,0.6216741800308228,0.22207380831241608,0.1507284939289093
4,0.3154754376915198,0.20670429786731456,0.6365581154823303,0.2338499128818512,0.16125966608524323
5,0.2984069680359705,0.2029068556839022,0.6501546502113342,0.2628697156906128,0.1820795238018036
6,0.2836040859157195,0.1949408435616,0.6610817313194275,0.26298055052757263,0.18142984807491302
7,0.27232682218149046,0.1933803981491204,0.6769875288009644,0.283555269241333,0.19957198202610016
8,0.26300698686106966,0.18860004313033202,0.6684241890907288,0.29093506932258606,0.20115043222904205
9,0.2549711037926897,0.1835982495083891,0.684952974319458,0.29974234104156494,0.21108673512935638
10,0.24768663017206938,0.19876091891321643,0.6850177645683289,0.30790573358535767,0.21303318440914154
11,0.24143285121799415,0.17856606024092642,0.7000912427902222,0.3086586892604828,0.21779023110866547
12,0.2359407879614671,0.17803835884250443,0.7032911777496338,0.31194576621055603,0.2213655561208725
