epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.4188578510867615,0.27013416978819615,0.5439319610595703,0.1359088122844696,0.08986560255289078
2,0.3329221502393249,0.2594501401329863,0.5398775339126587,0.15299564599990845,0.10132233798503876
3,0.3086714442925831,0.23978247313663878,0.5834103226661682,0.17747429013252258,0.11833363026380539
4,0.29248423214107566,0.25089795985098545,0.5813366770744324,0.17545489966869354,0.11714895814657211
5,0.28092165878158526,0.2368060407967403,0.5757904648780823,0.19178850948810577,0.12932336330413818
6,0.27235955640597864,0.23601752031466056,0.5942850708961487,0.1895359754562378,0.1273166537284851
7,0.2635299939921545,0.22851274953833942,0.5874662399291992,0.20005068182945251,0.13461343944072723
8,0.2564242477103344,0.2234670213070409,0.6127213835716248,0.21299302577972412,0.144263356924057
9,0.25130687238573085,0.2206481508139906,0.6159532070159912,0.2289547324180603,0.15517722070217133
10,0.24541382541624931,0.22053838218080588,0.6199619174003601,0.21934154629707336,0.14827896654605865
11,0.24406189365139683,0.22130997874613467,0.6078551411628723,0.21186770498752594,0.14319996535778046
12,0.2383410724439413,0.21737256728369614,0.611131489276886,0.22084636986255646,0.1491980105638504
