epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.5761022258753696,0.33867939939237623,0.4213818609714508,0.09442609548568726,0.06005319952964783
2,0.47325926605836705,0.3156251901224868,0.47330746054649353,0.1240788921713829,0.07986225187778473
3,0.4424807301671525,0.28929453026758484,0.5146941542625427,0.13174639642238617,0.08558637648820877
4,0.41985915249623723,0.2933352530410845,0.508869469165802,0.13414882123470306,0.08573250472545624
5,0.40194668094163855,0.27339448381776676,0.5419243574142456,0.15105581283569336,0.09874806553125381
6,0.3906055591519802,0.27015385052112684,0.542917788028717,0.15372225642204285,0.10008200258016586
7,0.38088205375749135,0.27166320506024033,0.5303022861480713,0.14826476573944092,0.09754716604948044
8,0.3715334498228147,0.2749207768946478,0.534820020198822,0.15845522284507751,0.10308551788330078
9,0.3636123203211379,0.2720099105818631,0.5480170845985413,0.16245494782924652,0.10553807765245438
10,0.35918650594846896,0.2606093989659662,0.563094973564148,0.17411258816719055,0.11434292048215866
11,0.34923295955190653,0.2595096982709349,0.5413098931312561,0.1577916294336319,0.10276539623737335
12,0.3450078958799595,0.25207277703775116,0.5751222968101501,0.18493075668811798,0.12200380116701126
