epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.47282050801819875,0.3014154421956572,0.49418655037879944,0.12654326856136322,0.08178578317165375
2,0.3891640159642379,0.282577685705603,0.5159110426902771,0.1339254230260849,0.08767266571521759
3,0.35571689546359037,0.28672214546432234,0.509072482585907,0.15598483383655548,0.10141492635011673
4,0.3441749124684558,0.27256227743952244,0.5572340488433838,0.1669744998216629,0.10870280116796494
5,0.3288661902887958,0.25276602375997254,0.5637838244438171,0.198823019862175,0.13125823438167572
6,0.3130868845978467,0.24285667420250096,0.5814534425735474,0.20174971222877502,0.13523633778095245
7,0.30142018353882627,0.23472624394583375,0.5878499746322632,0.2123323529958725,0.14268457889556885
8,0.2949271306113391,0.22592574694793519,0.6073442697525024,0.23140418529510498,0.1561647653579712
9,0.2912418760469008,0.24120970049949542,0.6006240248680115,0.2178250253200531,0.14532095193862915
10,0.2814061621420848,0.22086762687931322,0.6135467290878296,0.24249474704265594,0.1633809208869934
11,0.2777704857707776,0.2237793916504677,0.6154646873474121,0.23664061725139618,0.15976180136203766
12,0.2738998302455788,0.22041757925324243,0.6150404214859009,0.24307242035865784,0.16515228152275085
