epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.47614392205069644,0.26219490884918056,0.5592610239982605,0.173002690076828,0.1130184605717659
2,0.37687662482616946,0.2513052626219514,0.5579416155815125,0.1788107007741928,0.1198047623038292
3,0.3477138369429078,0.2283126194387266,0.6049771308898926,0.2167695015668869,0.14767245948314667
4,0.3322740951409305,0.2242617719385722,0.6172179579734802,0.22401238977909088,0.15244005620479584
5,0.31828950696101027,0.23235105039322212,0.6085832715034485,0.20890669524669647,0.141557514667511
6,0.30426039519297876,0.21960637616376355,0.6310954689979553,0.24501560628414154,0.16912226378917694
7,0.2952141404663948,0.21134328219580323,0.6237281560897827,0.24059829115867615,0.1647210717201233
8,0.28913416653652096,0.21194015218786996,0.6206510663032532,0.2476087510585785,0.16835422813892365
9,0.2804245115982742,0.20453754169483707,0.635052502155304,0.24275211989879608,0.16627000272274017
10,0.271729825767277,0.21330418927620534,0.6350612640380859,0.26051583886146545,0.17875730991363525
11,0.2672446612738919,0.20045688309489865,0.6634283065795898,0.2600317895412445,0.17832374572753906
12,0.2607669875595254,0.20718074242954385,0.6418054699897766,0.2600593864917755,0.18036268651485443
