epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.5607707537168497,0.35632943973459047,0.4162730276584625,0.0952875092625618,0.06071675196290016
2,0.41874262503985665,0.3067369989280043,0.47413960099220276,0.11681656539440155,0.07518506050109863
3,0.3738643253046066,0.2920611983229374,0.5074407458305359,0.14769627153873444,0.09548962861299515
4,0.34770325428244314,0.29640657249195823,0.5402273535728455,0.16140465438365936,0.10550302267074585
5,0.32982357231338005,0.26327477498301144,0.5459751486778259,0.17834816873073578,0.11685872822999954
6,0.3145120013613001,0.265351957339665,0.5458620190620422,0.17860840260982513,0.11739160865545273
7,0.30637784390810724,0.26056757492238075,0.5639861822128296,0.1904982328414917,0.12580673396587372
8,0.2962821764032422,0.24937203238750327,0.5643216967582703,0.18765880167484283,0.12378112971782684
9,0.28851346376197035,0.24940261789437,0.5707464218139648,0.2091892510652542,0.13755613565444946
10,0.28268235043023066,0.23708665057502945,0.5728625655174255,0.21148496866226196,0.14002999663352966
11,0.2782711248381732,0.23664980761963747,0.5904859304428101,0.21831481158733368,0.14503535628318787
12,0.27350670235780544,0.2430772822478722,0.5616999268531799,0.22404606640338898,0.1483968049287796
