epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.5703036431092534,0.3256106772651411,0.4350876212120056,0.10616909712553024,0.06913425773382187
2,0.4312000081235697,0.2673614282314091,0.5216174721717834,0.15419648587703705,0.10158800333738327
3,0.38652575836317066,0.2579893606574568,0.5630602240562439,0.17236588895320892,0.11511259526014328
4,0.35545212947887594,0.2442315992427199,0.5784230828285217,0.20068790018558502,0.13398440182209015
5,0.33495887270691016,0.24064600957583074,0.588625431060791,0.20865494012832642,0.13915549218654633
6,0.31999810238801163,0.23356097375285134,0.6030954718589783,0.2090047299861908,0.13973934948444366
7,0.30734783087610196,0.2234352267768285,0.6135549545288086,0.2334478795528412,0.15722136199474335
8,0.29726976816650863,0.2139702922064964,0.6414012312889099,0.24057158827781677,0.1651618331670761
9,0.2859805251039345,0.20766984293722127,0.6507343649864197,0.25420674681663513,0.1737765222787857
10,0.27983805961478475,0.19899984020484637,0.6560631394386292,0.25637000799179077,0.17639532685279846
11,0.26965426821601257,0.2206461571463167,0.6334035396575928,0.2520036995410919,0.17024436593055725
12,0.26553410076409534,0.20067676503772605,0.6535954475402832,0.2641541361808777,0.18381653726100922
