class_index,class_name,dice,iou,support,is_background
0,background,0.9758391976356506,0.9528183341026306,145558240.0,True
1,"shirt, blouse",0.5011343955993652,0.33434244990348816,529292.0,False
2,"top, t-shirt, sweatshirt",0.6417103409767151,0.4724400043487549,2653562.0,False
3,sweater,0.23313550651073456,0.13194872438907623,171347.0,False
4,cardigan,0.05706249177455902,0.029369186609983444,71137.0,False
5,jacket,0.5431462526321411,0.3728214204311371,1123516.0,False
6,vest,0.12295493483543396,0.0655045211315155,137379.0,False
7,pants,0.7027820944786072,0.5417609810829163,2676719.0,False
8,shorts,0.6340469121932983,0.464179128408432,381961.0,False
9,skirt,0.5377068519592285,0.3677147924900055,1452578.0,False
10,coat,0.6222596168518066,0.45165228843688965,1134357.0,False
11,dress,0.777722954750061,0.6362901926040649,7953374.0,False
12,jumpsuit,0.17125432193279266,0.09364578127861023,313638.0,False
13,cape,0.6307737231254578,0.46067896485328674,76307.0,False
14,glasses,0.5194726586341858,0.3508700430393219,53300.0,False
15,hat,0.3362312912940979,0.20209017395973206,134646.0,False
16,"headband, head covering, hair accessory",0.07582958787679672,0.03940897807478905,92471.0,False
17,tie,0.3656100630760193,0.2236981987953186,1022.0,False
18,glove,0.19892482459545135,0.11044781655073166,21662.0,False
19,watch,0.17905130982398987,0.09832858294248581,12600.0,False
20,belt,0.2818886637687683,0.16406890749931335,135806.0,False
21,leg warmer,0.0,0.0,37432.0,False
22,"tights, stockings",0.2371336966753006,0.13451598584651947,274430.0,False
23,sock,0.19484113156795502,0.10793571919202805,25457.0,False
24,shoe,0.6876651644706726,0.5240012407302856,854136.0,False
25,"bag, wallet",0.6019327640533447,0.430546373128891,525369.0,False
26,scarf,0.20290006697177887,0.11290416866540909,219207.0,False
27,umbrella,0.6322497725486755,0.4622552990913391,88397.0,False
28,hood,0.1892714500427246,0.1045277863740921,34810.0,False
29,collar,0.35475707054138184,0.21562595665454865,82578.0,False
30,lapel,0.5735187530517578,0.4020513594150543,248623.0,False
31,epaulette,0.0,0.0,1057.0,False
32,sleeve,0.7306336164474487,0.5755891799926758,2656977.0,False
33,pocket,0.24670061469078064,0.14070649445056915,170923.0,False
34,neckline,0.40212535858154297,0.25166264176368713,173734.0,False
35,buckle,0.0,0.0,6921.0,False
36,zipper,0.005809677764773369,0.0029133015777915716,26574.0,False
37,applique,0.0,0.0,40622.0,False
38,bead,0.0844741016626358,0.04409969225525856,33476.0,False
39,bow,0.0,0.0,7483.0,False
40,flower,0.0,0.0,12590.0,False
41,fringe,0.06603319197893143,0.03414391353726387,37959.0,False
42,ribbon,0.0,0.0,6482.0,False
43,rivet,0.0,0.0,7462.0,False
44,ruffle,0.39468687772750854,0.24586285650730133,478074.0,False
45,sequin,0.0,0.0,15147.0,False
46,tassel,0.0,0.0,3237.0,False
