class_index,class_name,dice,iou,support,is_background
0,background,0.9872106909751892,0.9747443795204163,145564352.0,True
1,"shirt, blouse",0.3685093820095062,0.22587282955646515,529452.0,False
2,"top, t-shirt, sweatshirt",0.6317968368530273,0.46177124977111816,2653946.0,False
3,sweater,0.24617813527584076,0.14036667346954346,171252.0,False
4,cardigan,0.0,0.0,71102.0,False
5,jacket,0.4406305253505707,0.28256967663764954,1123778.0,False
6,vest,0.003951539285480976,0.0019796809647232294,137379.0,False
7,pants,0.7523938417434692,0.6030700206756592,2674313.0,False
8,shorts,0.5969434976577759,0.4254593551158905,381684.0,False
9,skirt,0.555095374584198,0.3841744363307953,1451598.0,False
10,coat,0.4624324142932892,0.3007558286190033,1133693.0,False
11,dress,0.78270024061203,0.642980694770813,7949950.0,False
12,jumpsuit,0.04595630243420601,0.02351856417953968,313468.0,False
13,cape,0.0,0.0,76320.0,False
14,glasses,0.6255784630775452,0.455157607793808,53391.0,False
15,hat,0.41439440846443176,0.2613477110862732,134737.0,False
16,"headband, head covering, hair accessory",0.005863711703568697,0.0029404768720269203,92464.0,False
17,tie,0.3615107834339142,0.22063666582107544,1027.0,False
18,glove,0.09601825475692749,0.05043024197220802,21667.0,False
19,watch,0.10375317186117172,0.05471501126885414,12544.0,False
20,belt,0.19123946130275726,0.10572956502437592,135771.0,False
21,leg warmer,0.0,0.0,37438.0,False
22,"tights, stockings",0.48852163553237915,0.323207825422287,274162.0,False
23,sock,0.00360106467269361,0.001803780090995133,25381.0,False
24,shoe,0.695772111415863,0.533474326133728,854045.0,False
25,"bag, wallet",0.39511844515800476,0.2461978793144226,525544.0,False
26,scarf,0.17099766433238983,0.09349231421947479,219364.0,False
27,umbrella,0.25173819065093994,0.14399342238903046,88384.0,False
28,hood,0.01972981169819832,0.009963191114366055,34849.0,False
29,collar,0.289299339056015,0.16911160945892334,82485.0,False
30,lapel,0.324278324842453,0.1935156285762787,248562.0,False
31,epaulette,0.0,0.0,1045.0,False
32,sleeve,0.7414183616638184,0.5890904068946838,2658035.0,False
33,pocket,0.08626031130552292,0.045074213296175,171000.0,False
34,neckline,0.34293055534362793,0.20695002377033234,173563.0,False
35,buckle,0.07929185777902603,0.041282616555690765,6895.0,False
36,zipper,0.044844597578048706,0.022936590015888214,26645.0,False
37,applique,0.0,0.0,40594.0,False
38,bead,0.2692410945892334,0.15556246042251587,33583.0,False
39,bow,0.0,0.0,7495.0,False
40,flower,0.0,0.0,12614.0,False
41,fringe,0.16344773769378662,0.08899705111980438,38034.0,False
42,ribbon,0.0,0.0,6464.0,False
43,rivet,0.0,0.0,7445.0,False
44,ruffle,0.03671638295054436,0.018701517954468727,478052.0,False
45,sequin,0.0,0.0,15175.0,False
46,tassel,0.0,0.0,3265.0,False
