class_index,class_name,dice,iou,support,is_background
0,background,0.9906726479530334,0.9815176129341125,145564416.0,True
1,"shirt, blouse",0.45580124855041504,0.2951700687408447,529452.0,False
2,"top, t-shirt, sweatshirt",0.7114033699035645,0.5520760416984558,2653946.0,False
3,sweater,0.43206650018692017,0.2755643129348755,171252.0,False
4,cardigan,0.13515348732471466,0.07247432321310043,71102.0,False
5,jacket,0.5963758826255798,0.4248828887939453,1123778.0,False
6,vest,0.14104096591472626,0.07587093859910965,137379.0,False
7,pants,0.8274537324905396,0.7056896686553955,2674313.0,False
8,shorts,0.6908060312271118,0.5276574492454529,381684.0,False
9,skirt,0.643675684928894,0.47457355260849,1451598.0,False
10,coat,0.5600882768630981,0.38897407054901123,1133693.0,False
11,dress,0.8253756761550903,0.702672004699707,7949950.0,False
12,jumpsuit,0.15658776462078094,0.08494451642036438,313468.0,False
13,cape,0.46347296237945557,0.3016366958618164,76320.0,False
14,glasses,0.7419304251670837,0.5897372364997864,53391.0,False
15,hat,0.6739036440849304,0.5081860423088074,134737.0,False
16,"headband, head covering, hair accessory",0.44192585349082947,0.2836359441280365,92464.0,False
17,tie,0.406027615070343,0.2547268867492676,1027.0,False
18,glove,0.16383543610572815,0.08922699093818665,21667.0,False
19,watch,0.12064090371131897,0.06419257819652557,12544.0,False
20,belt,0.27376189827919006,0.1585887372493744,135771.0,False
21,leg warmer,0.0,0.0,37438.0,False
22,"tights, stockings",0.7006350755691528,0.5392134785652161,274162.0,False
23,sock,0.3118973672389984,0.18476209044456482,25381.0,False
24,shoe,0.7468452453613281,0.5959720611572266,854045.0,False
25,"bag, wallet",0.6028537154197693,0.43148934841156006,525544.0,False
26,scarf,0.29561886191368103,0.1734464466571808,219364.0,False
27,umbrella,0.9041538238525391,0.8250735998153687,88384.0,False
28,hood,0.26306790113449097,0.15145547688007355,34849.0,False
29,collar,0.3383317291736603,0.2036096751689911,82485.0,False
30,lapel,0.5678659677505493,0.3965173363685608,248562.0,False
31,epaulette,0.07361963391304016,0.03821656107902527,1045.0,False
32,sleeve,0.8174286484718323,0.6912298798561096,2658035.0,False
33,pocket,0.17090973258018494,0.0934397503733635,171000.0,False
34,neckline,0.41914165019989014,0.2651354968547821,173563.0,False
35,buckle,0.04742324724793434,0.024287519976496696,6895.0,False
36,zipper,0.08043951541185379,0.04190517216920853,26645.0,False
37,applique,0.0,0.0,40594.0,False
38,bead,0.13515406847000122,0.0724746510386467,33583.0,False
39,bow,0.0,0.0,7495.0,False
40,flower,0.0,0.0,12614.0,False
41,fringe,0.28409484028816223,0.1655655801296234,38034.0,False
42,ribbon,0.0,0.0,6464.0,False
43,rivet,0.0,0.0,7445.0,False
44,ruffle,0.2955225110054016,0.17338012158870697,478052.0,False
45,sequin,0.15951594710350037,0.0866706520318985,15175.0,False
46,tassel,0.0,0.0,3265.0,False
