class_index,class_name,dice,iou,support,is_background
0,background,0.987196147441864,0.974716067314148,145564384.0,True
1,"shirt, blouse",0.5000039935112,0.33333688974380493,529452.0,False
2,"top, t-shirt, sweatshirt",0.6469999551773071,0.47819656133651733,2653946.0,False
3,sweater,0.11360380798578262,0.06022266671061516,171252.0,False
4,cardigan,0.09521641582250595,0.049988050013780594,71102.0,False
5,jacket,0.5135372877120972,0.34547609090805054,1123778.0,False
6,vest,0.009218312799930573,0.004630499053746462,137379.0,False
7,pants,0.7757629752159119,0.6336705684661865,2674313.0,False
8,shorts,0.6213513016700745,0.45069587230682373,381684.0,False
9,skirt,0.5503706336021423,0.37966299057006836,1451598.0,False
10,coat,0.5328077673912048,0.36314788460731506,1133693.0,False
11,dress,0.7886812090873718,0.651093065738678,7949950.0,False
12,jumpsuit,0.08251020312309265,0.04303032532334328,313468.0,False
13,cape,0.006334207486361265,0.003177165985107422,76320.0,False
14,glasses,0.622254490852356,0.45164692401885986,53391.0,False
15,hat,0.42397090792655945,0.26901209354400635,134737.0,False
16,"headband, head covering, hair accessory",0.02378053218126297,0.012033346109092236,92464.0,False
17,tie,0.4281282424926758,0.2723684310913086,1027.0,False
18,glove,0.1171150803565979,0.06219980865716934,21667.0,False
19,watch,0.07140856981277466,0.03702628239989281,12544.0,False
20,belt,0.24189496040344238,0.13758845627307892,135771.0,False
21,leg warmer,0.0,0.0,37438.0,False
22,"tights, stockings",0.37802472710609436,0.2330644130706787,274162.0,False
23,sock,0.025407645851373672,0.012867286801338196,25381.0,False
24,shoe,0.680498480796814,0.5157238841056824,854045.0,False
25,"bag, wallet",0.53695148229599,0.36700868606567383,525544.0,False
26,scarf,0.21558360755443573,0.12081463634967804,219364.0,False
27,umbrella,0.650960385799408,0.4825361967086792,88384.0,False
28,hood,0.014032724313437939,0.007065939251333475,34849.0,False
29,collar,0.297782838344574,0.17493823170661926,82485.0,False
30,lapel,0.50350022315979,0.336451917886734,248562.0,False
31,epaulette,0.0,0.0,1045.0,False
32,sleeve,0.7816623449325562,0.6415810585021973,2658035.0,False
33,pocket,0.15955039858818054,0.0866909921169281,171000.0,False
34,neckline,0.4129485785961151,0.2601986229419708,173563.0,False
35,buckle,0.014494813047349453,0.007300314959138632,6895.0,False
36,zipper,0.05008700489997864,0.02568678930401802,26645.0,False
37,applique,0.0,0.0,40594.0,False
38,bead,0.01067374274134636,0.005365506745874882,33583.0,False
39,bow,0.0,0.0,7495.0,False
40,flower,0.0,0.0,12614.0,False
41,fringe,0.04146837443113327,0.02117319591343403,38034.0,False
42,ribbon,0.0,0.0,6464.0,False
43,rivet,0.0,0.0,7445.0,False
44,ruffle,0.21251295506954193,0.1188892275094986,478052.0,False
45,sequin,0.0,0.0,15175.0,False
46,tassel,0.0,0.0,3265.0,False
