run_name,status,model_name,image_size,learning_rate,batch_size,augmentation,run_mode,reduced_label_tag,num_classes,epochs,best_epoch,best_val_mdice_ex_bg,best_val_pixel_acc_ex_bg,best_val_miou_ex_bg,seconds,checkpoint_path,history_csv,per_class_csv,config_json
deeplabv3plus_resnet50_res384_lr0.001_bs16_weak_full_full_labels,completed,deeplabv3plus_resnet50,384,0.001,16,weak,full,full_labels,47,12,10,0.2776632606983185,0.6593422293663025,0.19497787952423096,5509.936800300027,outputs\task2\checkpoints\deeplabv3plus_resnet50_res384_lr0.001_bs16_weak_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res384_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res384_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res384_lr0.001_bs16_weak_full_full_labels.json
deeplabv3plus_resnet50_res384_lr0.001_bs16_strong_full_full_labels,completed,deeplabv3plus_resnet50,384,0.001,16,strong,full,full_labels,47,12,12,0.2641541361808777,0.6535954475402832,0.18381653726100922,5512.3755161999725,outputs\task2\checkpoints\deeplabv3plus_resnet50_res384_lr0.001_bs16_strong_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res384_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res384_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res384_lr0.001_bs16_strong_full_full_labels.json
deeplabv3plus_resnet50_res384_lr0.0003_bs8_weak_full_full_labels,completed,deeplabv3plus_resnet50,384,0.0003,8,weak,full,full_labels,47,12,12,0.33514803647994995,0.692089855670929,0.23854659497737885,5584.022441899986,outputs\task2\checkpoints\deeplabv3plus_resnet50_res384_lr0.0003_bs8_weak_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res384_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res384_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res384_lr0.0003_bs8_weak_full_full_labels.json
deeplabv3plus_resnet50_res384_lr0.0003_bs8_strong_full_full_labels,completed,deeplabv3plus_resnet50,384,0.0003,8,strong,full,full_labels,47,12,12,0.31194576621055603,0.7032911777496338,0.2213655561208725,5585.5035164,outputs\task2\checkpoints\deeplabv3plus_resnet50_res384_lr0.0003_bs8_strong_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res384_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res384_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res384_lr0.0003_bs8_strong_full_full_labels.json
deeplabv3plus_resnet50_res384_lr0.0003_bs16_weak_full_full_labels,completed,deeplabv3plus_resnet50,384,0.0003,16,weak,full,full_labels,47,12,11,0.35047563910484314,0.7072039842605591,0.2502342164516449,5502.939495100058,outputs\task2\checkpoints\deeplabv3plus_resnet50_res384_lr0.0003_bs16_weak_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res384_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res384_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res384_lr0.0003_bs16_weak_full_full_labels.json
deeplabv3plus_resnet50_res384_lr0.0003_bs16_strong_full_full_labels,completed,deeplabv3plus_resnet50,384,0.0003,16,strong,full,full_labels,47,12,12,0.34032949805259705,0.7149555087089539,0.24293021857738495,5503.2399864000035,outputs\task2\checkpoints\deeplabv3plus_resnet50_res384_lr0.0003_bs16_strong_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res384_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res384_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res384_lr0.0003_bs16_strong_full_full_labels.json
segformer_b0_res192_lr0.001_bs8_weak_full_full_labels,completed,segformer_b0,192,0.001,8,weak,full,full_labels,47,12,10,0.18020424246788025,0.5694211721420288,0.11863096803426743,2326.4249859000556,outputs\task2\checkpoints\segformer_b0_res192_lr0.001_bs8_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.001_bs8_weak_full_full_labels.json
segformer_b0_res192_lr0.001_bs8_strong_full_full_labels,completed,segformer_b0,192,0.001,8,strong,full,full_labels,47,12,11,0.16737017035484314,0.5300512909889221,0.10895220935344696,2320.6079708999023,outputs\task2\checkpoints\segformer_b0_res192_lr0.001_bs8_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.001_bs8_strong_full_full_labels.json
segformer_b0_res192_lr0.001_bs16_weak_full_full_labels,completed,segformer_b0,192,0.001,16,weak,full,full_labels,47,12,12,0.20011381804943085,0.5971797704696655,0.1338781863451004,1586.3085599000333,outputs\task2\checkpoints\segformer_b0_res192_lr0.001_bs16_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.001_bs16_weak_full_full_labels.json
segformer_b0_res192_lr0.001_bs16_strong_full_full_labels,completed,segformer_b0,192,0.001,16,strong,full,full_labels,47,12,12,0.18493075668811798,0.5751222968101501,0.12200380116701126,1585.4725819999585,outputs\task2\checkpoints\segformer_b0_res192_lr0.001_bs16_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.001_bs16_strong_full_full_labels.json
