epoch,train_loss,val_loss,val_pixel_acc_ex_bg,val_mdice_ex_bg,val_miou_ex_bg
1,0.27325066807843107,0.1687040431552554,0.3174301087856293,0.15650492906570435,0.10082510858774185
2,0.19816533395390942,0.1621302377483616,0.3065057396888733,0.1791277676820755,0.11484228074550629
3,0.18270292988916934,0.1582258755519782,0.29790014028549194,0.16821707785129547,0.10836570709943771
4,0.17174754514349794,0.13661698481603846,0.3762269616127014,0.21678736805915833,0.14533217251300812
5,0.16242876146667928,0.13742502707324616,0.43755996227264404,0.23461268842220306,0.15658192336559296
6,0.1524882324008587,0.1299389111362908,0.42205625772476196,0.24465934932231903,0.16313162446022034
7,0.14934947011472466,0.13015073037719074,0.4394965171813965,0.2528606951236725,0.1700788289308548
8,0.14287467513019206,0.12755519447669592,0.4152102470397949,0.25695013999938965,0.17572608590126038
9,0.13901819531031234,0.12220042053456992,0.44449102878570557,0.2689886689186096,0.18278822302818298
10,0.13235890231033862,0.1186617587578215,0.45058923959732056,0.27385661005973816,0.18446016311645508
11,0.13032155756826863,0.12197482386884624,0.48185354471206665,0.28672918677330017,0.1970568299293518
12,0.12653392424407253,0.12120911310592743,0.4626177251338959,0.28903260827064514,0.1961437612771988
